,score
0,96.33446931838989
1,36.147356033325195
2,93.33409070968628
3,45.77191174030304
4,97.27953672409058
5,64.62602019309998
6,96.4697003364563
7,58.37010741233826
8,94.39321160316467
9,66.37182235717773
10,94.57665085792542
11,73.15027117729187
12,96.51957750320435
13,77.17502117156982
14,96.75685167312622
15,38.40520679950714
16,95.1819121837616
17,46.32171094417572
18,93.63850951194763
19,47.30105400085449
20,97.04709649085999
21,40.6663179397583
22,89.73453044891357
23,41.325947642326355
24,94.39773559570312
25,79.51363921165466
26,93.40828657150269
27,71.2959885597229
28,89.00702595710754
29,46.70456647872925
30,94.88364458084106
31,62.13077902793884
32,97.34188318252563
33,34.74395275115967
34,94.09916400909424
35,37.36626207828522
36,96.18808627128601
37,84.38876867294312
38,92.23543405532837
39,67.45069026947021
40,96.23781442642212
41,49.58248734474182
42,92.45501756668091
43,65.95149040222168
44,96.90097570419312
45,43.222227692604065
46,88.10165524482727
47,53.56566905975342
48,95.24120688438416
49,84.46035981178284
50,93.65304708480835
51,42.33163297176361
52,96.89557552337646
53,50.68614482879639
54,96.67617082595825
55,41.39478802680969
56,92.02222228050232
57,53.312015533447266
58,94.73046064376831
59,62.9902720451355
60,90.8123254776001
61,29.714515805244446
62,94.48444247245789
63,61.7847740650177
64,96.31005525588989
65,64.05777335166931
66,94.77847814559937
67,53.08810472488403
68,95.80215811729431
69,55.857664346694946
70,96.20717763900757
71,49.73479509353638
72,95.60052156448364
73,83.02428126335144
74,94.19596791267395
75,55.28329610824585
76,96.15585803985596
77,57.573145627975464
78,95.03422975540161
79,36.991116404533386
80,93.88829469680786
81,51.03323459625244
82,90.40424227714539
83,60.68281531333923
84,92.30383038520813
85,65.51913619041443
86,91.78181886672974
87,58.68878364562988
88,97.18881845474243
89,64.12168741226196
90,95.41257619857788
91,28.680533170700073
92,95.25360465049744
93,58.91161561012268
94,95.9551990032196
95,55.73260188102722
96,94.39306855201721
97,51.18764042854309
98,91.93599224090576
99,56.98840618133545
100,95.26510238647461
101,49.498653411865234
102,97.23371267318726
103,41.820818185806274
104,88.76133561134338
105,68.27574372291565
106,91.9234037399292
107,64.4612729549408
108,91.12352132797241
109,36.23923063278198
110,94.0322756767273
111,57.25323557853699
112,88.31664323806763
113,30.511575937271118
114,92.12269186973572
115,77.96019911766052
116,91.03702306747437
117,31.722912192344666
118,93.26437711715698
119,52.19616889953613
120,92.88126230239868
121,65.34629464149475
122,86.14657521247864
123,71.13640308380127
124,94.64478492736816
125,48.86898398399353
126,91.17146134376526
127,57.80286192893982
128,94.74581480026245
129,79.0148675441742
130,94.28125023841858
131,32.0902556180954
132,94.5228099822998
133,38.224464654922485
134,94.99977827072144
135,61.785852909088135
136,97.16086387634277
137,68.57149600982666
138,97.59939908981323
139,65.8833384513855
140,92.42252111434937
141,25.48815608024597
142,94.95280385017395
143,83.91309976577759
144,95.17101049423218
145,82.53093361854553
146,94.3243145942688
147,66.13686680793762
148,95.0796127319336
149,60.99901795387268
150,95.48523426055908
151,41.23474955558777
152,88.8120949268341
153,27.412861585617065
154,92.76567697525024
155,29.05551791191101
156,94.06142234802246
157,26.839864253997803
158,91.24552011489868
159,41.87408089637756
160,97.3065733909607
161,34.34963524341583
162,96.00622057914734
163,77.98119783401489
164,96.420818567276
165,37.2944712638855
166,94.64048743247986
167,45.62205374240875
168,96.55559659004211
169,63.24944496154785
170,90.65656661987305
171,44.17581558227539
172,94.86352801322937
173,77.94037461280823
174,95.23784518241882
175,52.82696485519409
176,94.34276223182678
177,80.4589569568634
178,95.51031589508057
179,39.843910932540894
180,97.66451120376587
181,33.05552005767822
182,92.6394522190094
183,55.82263469696045
184,91.27397537231445
185,61.1885666847229
186,96.63703441619873
187,69.05169486999512
188,93.63853931427002
189,38.116586208343506
190,95.11358737945557
191,31.65295124053955
192,87.33780980110168
193,82.24446177482605
194,91.62622690200806
195,65.99451303482056
196,89.14960622787476
197,53.86005640029907
198,86.60246729850769
199,50.00104308128357
200,92.23271608352661
201,52.33490467071533
202,93.22312474250793
203,67.88312196731567
204,89.7057831287384
205,31.670916080474854
206,93.68264079093933
207,53.05812954902649
208,95.98076939582825
209,22.205519676208496
210,92.52598285675049
211,55.45451641082764
212,97.04458713531494
213,33.7392657995224
214,92.17970967292786
215,52.449363470077515
216,92.54150390625
217,79.73077297210693
218,94.84040141105652
219,46.08755111694336
220,93.88127326965332
221,43.25464069843292
222,95.71306705474854
223,54.6760618686676
224,91.21131896972656
225,35.24219989776611
226,91.92736744880676
227,58.37864875793457
228,97.55647778511047
229,57.50586986541748
230,96.7998743057251
231,32.94067680835724
232,90.37144184112549
233,44.85068917274475
234,95.26862502098083
235,54.475295543670654
236,95.05910277366638
237,54.854816198349
238,94.54425573348999
239,39.03210163116455
240,96.49468660354614
241,50.648534297943115
242,94.56736445426941
243,57.570141553878784
244,93.68215203285217
245,30.608150362968445
246,96.9495177268982
247,50.432586669921875
248,92.23794937133789
249,86.07199192047119
250,92.54566431045532
251,66.43911004066467
252,95.86977958679199
253,60.81475019454956
254,95.71220278739929
255,37.28229999542236
256,93.70471239089966
257,54.804813861846924
258,90.46306014060974
259,70.60230374336243
260,93.38397979736328
261,57.91394114494324
262,87.420254945755
263,51.93115472793579
264,91.07915163040161
265,40.67203104496002
266,94.31147575378418
267,57.68643021583557
268,87.75443434715271
269,67.34488010406494
270,95.20418643951416
271,47.26916551589966
272,96.87309265136719
273,42.22606122493744
274,87.28997707366943
275,78.73262166976929
276,95.79593539237976
277,48.74750077724457
278,93.04625988006592
279,69.32647228240967
280,94.08372044563293
281,50.763070583343506
282,93.82328391075134
283,58.76419544219971
284,92.09128022193909
285,53.24642062187195
286,91.95501804351807
287,55.349600315093994
288,96.42002582550049
289,42.730796337127686
290,94.78398561477661
291,59.70561504364014
292,97.74252772331238
293,42.73725748062134
294,96.57523036003113
295,41.61247909069061
296,98.166024684906
297,47.241249680519104
298,95.93290686607361
299,78.12641859054565
300,95.24085521697998
301,32.96143114566803
302,96.9449520111084
303,69.91708874702454
304,94.72077488899231
305,28.745821118354797
306,97.58830666542053
307,52.888232469558716
308,97.77926802635193
309,88.27004432678223
310,93.79123449325562
311,51.85391306877136
312,94.50028538703918
313,82.63930082321167
314,97.0835268497467
315,70.40750980377197
316,98.20647835731506
317,57.313865423202515
318,86.86153888702393
319,75.16166567802429
320,97.38340377807617
321,46.258628368377686
322,92.21122860908508
323,49.496376514434814
324,94.80592608451843
325,73.90878200531006
326,95.48977613449097
327,44.9524849653244
328,95.69552540779114
329,78.20871472358704
330,97.04660773277283
331,49.94184374809265
332,97.49767780303955
333,50.345975160598755
334,96.15585803985596
335,78.08141112327576
336,92.19784736633301
337,74.5150625705719
338,93.28296780586243
339,59.80827212333679
340,86.43929362297058
341,67.24751591682434
342,85.4156494140625
343,48.70972037315369
344,95.95571756362915
345,56.849849224090576
346,97.78972268104553
347,34.24404859542847
348,95.11399865150452
349,32.196202874183655
350,93.92222166061401
351,36.68742775917053
352,96.17226719856262
353,50.71498155593872
354,85.07786393165588
355,45.282554626464844
356,95.64130306243896
357,67.42913126945496
358,93.86177062988281
359,39.077118039131165
360,96.89059853553772
361,59.307897090911865
362,92.18567609786987
363,77.69282460212708
364,98.49386215209961
365,54.35470938682556
366,98.08545708656311
367,61.65114641189575
368,91.67145490646362
369,60.667186975479126
370,96.80311679840088
371,55.76891899108887
372,92.48756170272827
373,53.28901410102844
374,96.60058617591858
375,39.73538279533386
376,95.76513767242432
377,40.18274247646332
378,92.82430410385132
379,43.647634983062744
380,98.87603521347046
381,58.40618014335632
382,96.861332654953
383,36.00885570049286
384,97.47625589370728
385,43.836989998817444
386,98.4582006931305
387,35.07451415061951
388,93.20762157440186
389,63.954782485961914
390,96.55385613441467
391,57.10161328315735
392,96.4719295501709
393,51.825761795043945
394,96.11931443214417
395,43.46030652523041
396,94.5189356803894
397,47.96666502952576
398,92.55950450897217
399,47.63925075531006
400,95.80341577529907
401,47.2862184047699
402,88.07035684585571
403,53.750771284103394
404,90.01486897468567
405,58.07123780250549
406,86.92487478256226
407,36.1222118139267
408,94.15438771247864
409,73.63896369934082
410,89.49533104896545
411,54.014986753463745
412,95.59053182601929
413,59.14108753204346
414,94.06514763832092
415,51.31307244300842
416,93.23910474777222
417,44.52333152294159
418,92.59249567985535
419,60.76505780220032
420,95.59805393218994
421,59.99475121498108
422,90.13254046440125
423,44.18075084686279
424,98.20647835731506
425,35.67040264606476
426,96.61643505096436
427,51.223647594451904
428,89.62882161140442
429,35.129642486572266
430,85.83642840385437
431,64.57635760307312
432,95.01588940620422
433,59.507179260253906
434,92.34074354171753
435,52.30633616447449
436,95.47904133796692
437,38.88554573059082
438,92.67278909683228
439,41.64600074291229
440,92.38632917404175
441,47.06329107284546
442,92.03159809112549
443,41.83067977428436
444,94.90891098976135
445,41.148412227630615
446,96.86621427536011
447,81.35325908660889
448,96.73274159431458
449,43.55146288871765
450,95.56957483291626
451,47.411876916885376
452,96.50936126708984
453,36.88737750053406
454,97.31414318084717
455,79.54331636428833
456,93.5234785079956
457,67.96395778656006
458,97.33071327209473
459,73.90419244766235
460,96.01431488990784
461,37.178730964660645
462,95.936119556427
463,64.08368945121765
464,90.87638258934021
465,39.79212939739227
466,94.59072351455688
467,39.89149332046509
468,93.52161884307861
469,59.30962562561035
470,99.03562068939209
471,47.83482253551483
472,91.45022630691528
473,54.93038892745972
474,95.02519369125366
475,71.07168436050415
476,93.49066019058228
477,43.78217160701752
478,95.76924443244934
479,52.0454466342926
480,95.94482183456421
481,72.87821173667908
482,96.89793586730957
